,List Year,Sale Amount
0,2001,14671668335.0
1,2002,17687185857.0
2,2003,21020152793.0
3,2004,31966245823.0
4,2005,22424983827.0
5,2006,23191375510.4
6,2007,15518803446.0
7,2008,10666103724.0
8,2009,15100980907.0
9,2010,11107540414.0
10,2011,12167673424.0
11,2012,14226518439.22
12,2013,16517079160.0
13,2014,19895675672.67
14,2015,16135823472.0
15,2016,25272800660.0
16,2017,17968045819.66
17,2018,19458446161.2
18,2019,24778187646.5
19,2020,40285754101.02
20,2021,30578589572.46
21,2022,24245380151.78
